player_id,player_name,team,season,week,position,fantasy_points_ppr,targets,receptions,receiving_yards,receiving_tds,games,snap_share,route_participation,target_share,air_yard_share
00-0030035,A.Thielen,MIN,2022,18,WR,9.2,3,2,8.0,1,,,,,
00-0036261,B.Aiyuk,SF,2022,18,WR,9.9,5,4,59.0,0,,,,,
00-0031236,B.Cooks,HOU,2022,18,WR,21.6,6,5,106.0,1,,,,,
00-0032054,B.Perriman,TB,2022,18,WR,1.9,2,1,9.0,0,,,,,
00-0034646,B.Powell,LA,2022,18,WR,2.7,3,1,2.0,0,,,,,
00-0034297,B.Pringle,CHI,2022,18,WR,1.5,1,1,5.0,0,,,,,
00-0036326,C.Claypool,CHI,2022,18,WR,4.9,6,2,29.0,0,,,,,
00-0033871,C.Davis,NYJ,2022,18,WR,2.7,3,1,17.0,0,,,,,
00-0033921,C.Godwin,TB,2022,18,WR,9.5,7,6,55.0,0,,,,,
00-0036810,C.Johnson,SEA,2022,18,WR,4.1,2,2,21.0,0,,,,,
00-0034775,C.Kirk,JAX,2022,18,WR,21.9,8,6,99.0,1,,,,,
00-0036358,C.Lamb,DAL,2022,18,WR,16.2,7,5,52.0,1,,,,,
00-0032398,C.Moore,HOU,2022,18,WR,4.0,6,2,22.0,0,,,,,
00-0037239,C.Olave,NO,2022,18,WR,15.0,12,5,60.0,1,,,,,
00-0033282,C.Samuel,WAS,2022,18,WR,0.3999999999999999,1,1,-2.0,0,,,,,
00-0034104,C.Sims,WAS,2022,18,WR,0.0,1,0,0.0,0,,,,,
00-0034348,C.Sutton,DEN,2022,18,WR,12.3,7,3,33.0,1,,,,,
00-0038124,C.Watson,GB,2022,18,WR,16.6,6,5,104.0,0,,,,,
00-0031381,D.Adams,LV,2022,18,WR,12.3,9,5,73.0,0,,,,,
00-0037257,D.Bell,CLE,2022,18,WR,0.0,2,0,0.0,0,,,,,
00-0031868,D.Byrd,ATL,2022,18,WR,1.0,1,1,0.0,0,,,,,
00-0031763,D.Carter,LAC,2022,18,WR,5.3,5,3,43.0,0,,,,,
00-0034777,D.Chark,DET,2022,18,WR,4.4,4,3,14.0,0,,,,,
00-0035216,D.Johnson,PIT,2022,18,WR,7.800000000000001,10,2,38.0,0,,,,,
00-0037238,D.London,ATL,2022,18,WR,18.0,8,6,120.0,0,,,,,
00-0035640,D.Metcalf,SEA,2022,18,WR,7.0,8,3,40.0,0,,,,,
00-0034827,D.Moore,CAR,2022,18,WR,2.0,4,1,10.0,0,,,,,
00-0031547,D.Parker,NE,2022,18,WR,25.9,7,6,79.0,2,,,,,
00-0036233,D.Peoples-Jones,CLE,2022,18,WR,6.2,4,2,42.0,0,,,,,
00-0034860,D.Pettis,CHI,2022,18,WR,3.9000000000000004,6,2,19.0,0,,,,,
00-0032775,D.Robinson,BAL,2022,18,WR,4.4,9,2,24.0,0,,,,,
00-0035719,D.Samuel,SF,2022,18,WR,4.4,3,2,20.0,0,,,,,
00-0036912,D.Smith,PHI,2022,18,WR,13.7,8,7,67.0,0,,,,,
00-0037487,D.Thompkins,TB,2022,18,WR,8.2,9,4,25.0,0,,,,,
